question_id,no_hints_correct,correct_hints_correct,ic_hints_correct,helped_by_correct,hurt_by_ic,always_correct,always_wrong
1,True,True,True,False,False,True,False
2,False,False,False,False,False,False,True
3,False,False,False,False,False,False,True
4,True,True,False,False,True,False,False
5,False,False,False,False,False,False,True
6,False,False,False,False,False,False,True
7,False,False,False,False,False,False,True
8,False,False,False,False,False,False,True
9,False,False,False,False,False,False,True
10,False,False,False,False,False,False,True
11,True,True,True,False,False,True,False
12,True,True,True,False,False,True,False
13,True,True,True,False,False,True,False
14,False,False,False,False,False,False,True
15,False,False,False,False,False,False,True
16,True,True,True,False,False,True,False
17,False,False,False,False,False,False,True
18,False,False,False,False,False,False,True
19,True,True,True,False,False,True,False
20,False,False,False,False,False,False,True
21,False,True,True,True,False,False,False
22,False,False,False,False,False,False,True
23,True,False,False,False,True,False,False
24,False,False,False,False,False,False,True
25,False,False,False,False,False,False,True
26,False,False,False,False,False,False,True
27,False,False,False,False,False,False,True
28,False,False,False,False,False,False,True
29,True,True,True,False,False,True,False
30,True,True,True,False,False,True,False
31,False,False,False,False,False,False,True
32,True,True,True,False,False,True,False
33,True,False,True,False,False,False,False
34,False,False,False,False,False,False,True
35,True,True,True,False,False,True,False
36,False,False,False,False,False,False,True
37,False,False,False,False,False,False,True
38,True,True,True,False,False,True,False
39,False,False,False,False,False,False,True
40,False,False,False,False,False,False,True
41,True,True,True,False,False,True,False
42,False,False,False,False,False,False,True
43,True,True,True,False,False,True,False
44,False,False,False,False,False,False,True
45,False,False,False,False,False,False,True
46,True,True,True,False,False,True,False
47,False,False,False,False,False,False,True
48,True,True,True,False,False,True,False
49,False,False,False,False,False,False,True
50,True,True,True,False,False,True,False
51,False,False,False,False,False,False,True
52,False,False,False,False,False,False,True
53,False,False,False,False,False,False,True
54,False,False,False,False,False,False,True
55,False,False,False,False,False,False,True
56,False,True,True,True,False,False,False
57,True,True,True,False,False,True,False
58,False,False,False,False,False,False,True
59,False,False,False,False,False,False,True
60,True,True,True,False,False,True,False
61,True,True,True,False,False,True,False
62,True,True,True,False,False,True,False
63,False,False,False,False,False,False,True
64,True,True,True,False,False,True,False
65,True,True,True,False,False,True,False
66,True,True,True,False,False,True,False
67,True,True,True,False,False,True,False
68,True,True,True,False,False,True,False
69,True,True,True,False,False,True,False
70,True,True,True,False,False,True,False
71,True,True,True,False,False,True,False
72,True,True,False,False,True,False,False
73,True,True,True,False,False,True,False
74,False,False,False,False,False,False,True
75,True,True,True,False,False,True,False
76,True,True,True,False,False,True,False
77,True,True,True,False,False,True,False
78,True,True,True,False,False,True,False
79,True,True,True,False,False,True,False
80,True,True,True,False,False,True,False
81,True,True,True,False,False,True,False
82,True,True,True,False,False,True,False
83,True,True,True,False,False,True,False
84,True,True,True,False,False,True,False
85,True,True,True,False,False,True,False
86,True,True,True,False,False,True,False
87,False,False,False,False,False,False,True
88,True,True,True,False,False,True,False
89,False,False,False,False,False,False,True
90,True,True,True,False,False,True,False
91,False,False,False,False,False,False,True
92,True,True,True,False,False,True,False
93,False,False,False,False,False,False,True
94,True,True,True,False,False,True,False
95,False,False,False,False,False,False,True
96,True,True,True,False,False,True,False
97,True,True,False,False,True,False,False
98,True,True,True,False,False,True,False
99,True,True,True,False,False,True,False
100,True,True,True,False,False,True,False
101,False,False,False,False,False,False,True
102,False,False,False,False,False,False,True
103,True,True,True,False,False,True,False
104,False,False,True,False,False,False,False
105,True,True,True,False,False,True,False
106,False,False,False,False,False,False,True
107,True,True,False,False,True,False,False
108,False,False,False,False,False,False,True
109,True,True,True,False,False,True,False
110,True,True,True,False,False,True,False
111,False,False,False,False,False,False,True
112,True,True,True,False,False,True,False
113,True,True,True,False,False,True,False
114,False,False,False,False,False,False,True
115,True,True,True,False,False,True,False
116,True,True,True,False,False,True,False
117,False,False,False,False,False,False,True
118,True,True,True,False,False,True,False
119,False,False,False,False,False,False,True
120,False,False,False,False,False,False,True
